Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/07/2020,MA09,132
Total number of people in contact with adult mental health services,31/08/2020,MA09,139
Total number of people in contact with adult mental health services,30/09/2020,MA09,147
Total number of people in contact with adult mental health services,31/10/2020,MA09,142
Total number of people in contact with adult mental health services,30/11/2020,MA09,143
Total number of people in contact with adult mental health services,31/12/2020,MA09,143
Total number of people in contact with adult mental health services,31/01/2021,MA09,144
Total number of people in contact with adult mental health services,31/01/2018,MH00,262
Total number of people in contact with adult mental health services,28/02/2018,MH00,263
Total number of people in contact with adult mental health services,31/03/2018,MH00,264
Total number of people in contact with adult mental health services,31/05/2018,MH00,270
Total number of people in contact with adult mental health services,31/07/2018,MH00,286
Total number of people in contact with adult mental health services,31/08/2018,MH00,291
Total number of people in contact with adult mental health services,30/09/2018,MH00,300
Total number of people in contact with adult mental health services,31/10/2018,MH00,300
Total number of people in contact with adult mental health services,30/11/2018,MH00,301
Total number of people in contact with adult mental health services,31/12/2018,MH00,304
Total number of people in contact with adult mental health services,31/01/2019,MH00,313
Total number of people in contact with adult mental health services,28/02/2019,MH00,313
Total number of people in contact with adult mental health services,31/03/2019,MH00,314
Total number of people in contact with adult mental health services,30/04/2019,MH00,321
Total number of people in contact with adult mental health services,31/05/2019,MH00,324
Total number of people in contact with adult mental health services,30/06/2019,MH00,328
Total number of people in contact with adult mental health services,31/07/2019,MH00,359
Total number of people in contact with adult mental health services,31/08/2019,MH00,364
Total number of people in contact with adult mental health services,30/09/2019,MH00,355
Total number of people in contact with adult mental health services,31/10/2019,MH00,356
Total number of people in contact with adult mental health services,30/11/2019,MH00,355
Total number of people in contact with adult mental health services,31/12/2019,MH00,345
Total number of people in contact with adult mental health services,31/01/2020,MH00,342
Total number of people in contact with adult mental health services,29/02/2020,MH00,346
Total number of people in contact with adult mental health services,31/03/2020,MH00,346
Total number of people in contact with adult mental health services,30/04/2020,MH00,346
Total number of people in contact with adult mental health services,31/05/2020,MH00,343
Total number of people in contact with adult mental health services,30/06/2020,MH00,348
Total number of people in contact with adult mental health services,31/07/2020,MH00,347
Total number of people in contact with adult mental health services,31/08/2020,MH00,347
Total number of people in contact with adult mental health services,30/09/2020,MH00,352
Total number of people in contact with adult mental health services,31/10/2020,MH00,362
Total number of people in contact with adult mental health services,30/11/2020,MH00,355
Total number of people in contact with adult mental health services,31/12/2020,MH00,353
Total number of people in contact with adult mental health services,31/01/2021,MH00,350
Total number of people in contact with adult mental health services,31/01/2018,MH01,184
Total number of people in contact with adult mental health services,28/02/2018,MH01,194
Total number of people in contact with adult mental health services,31/03/2018,MH01,195
Total number of people in contact with adult mental health services,31/05/2018,MH01,189
Total number of people in contact with adult mental health services,31/07/2018,MH01,200
Total number of people in contact with adult mental health services,31/08/2018,MH01,202
Total number of people in contact with adult mental health services,30/09/2018,MH01,198
Total number of people in contact with adult mental health services,31/10/2018,MH01,199
Total number of people in contact with adult mental health services,30/11/2018,MH01,200
Total number of people in contact with adult mental health services,31/12/2018,MH01,201
Total number of people in contact with adult mental health services,31/01/2019,MH01,196
Total number of people in contact with adult mental health services,28/02/2019,MH01,195
Total number of people in contact with adult mental health services,31/03/2019,MH01,193
Total number of people in contact with adult mental health services,30/04/2019,MH01,191
Total number of people in contact with adult mental health services,31/05/2019,MH01,195
Total number of people in contact with adult mental health services,30/06/2019,MH01,200
Total number of people in contact with adult mental health services,31/07/2019,MH01,238
Total number of people in contact with adult mental health services,31/08/2019,MH01,233
Total number of people in contact with adult mental health services,30/09/2019,MH01,228
Total number of people in contact with adult mental health services,31/10/2019,MH01,229
Total number of people in contact with adult mental health services,30/11/2019,MH01,237
Total number of people in contact with adult mental health services,31/12/2019,MH01,234
Total number of people in contact with adult mental health services,31/01/2020,MH01,246
Total number of people in contact with adult mental health services,29/02/2020,MH01,243
Total number of people in contact with adult mental health services,31/03/2020,MH01,242
Total number of people in contact with adult mental health services,30/04/2020,MH01,234
Total number of people in contact with adult mental health services,31/05/2020,MH01,238
Total number of people in contact with adult mental health services,30/06/2020,MH01,235
Total number of people in contact with adult mental health services,31/07/2020,MH01,233
Total number of people in contact with adult mental health services,31/08/2020,MH01,235
Total number of people in contact with adult mental health services,30/09/2020,MH01,235
Total number of people in contact with adult mental health services,31/10/2020,MH01,237
Total number of people in contact with adult mental health services,30/11/2020,MH01,228
Total number of people in contact with adult mental health services,31/12/2020,MH01,230
Total number of people in contact with adult mental health services,31/01/2021,MH01,225
Total number of people in contact with adult mental health services,31/01/2018,MH02,8
Total number of people in contact with adult mental health services,28/02/2018,MH02,7
Total number of people in contact with adult mental health services,31/03/2018,MH02,7
Total number of people in contact with adult mental health services,31/05/2018,MH02,7
Total number of people in contact with adult mental health services,31/07/2018,MH02,6
Total number of people in contact with adult mental health services,31/08/2018,MH02,7
Total number of people in contact with adult mental health services,30/09/2018,MH02,6
Total number of people in contact with adult mental health services,31/10/2018,MH02,6
Total number of people in contact with adult mental health services,30/11/2018,MH02,6
Total number of people in contact with adult mental health services,31/12/2018,MH02,9
Total number of people in contact with adult mental health services,31/01/2019,MH02,10
Total number of people in contact with adult mental health services,28/02/2019,MH02,10
Total number of people in contact with adult mental health services,31/03/2019,MH02,9
Total number of people in contact with adult mental health services,30/04/2019,MH02,8
Total number of people in contact with adult mental health services,31/05/2019,MH02,8
Total number of people in contact with adult mental health services,30/06/2019,MH02,8
Total number of people in contact with adult mental health services,31/07/2019,MH02,14
Total number of people in contact with adult mental health services,31/08/2019,MH02,14
Total number of people in contact with adult mental health services,30/09/2019,MH02,16
Total number of people in contact with adult mental health services,31/10/2019,MH02,16
Total number of people in contact with adult mental health services,30/11/2019,MH02,15
Total number of people in contact with adult mental health services,31/12/2019,MH02,15
Total number of people in contact with adult mental health services,31/01/2020,MH02,16
Total number of people in contact with adult mental health services,29/02/2020,MH02,17
Total number of people in contact with adult mental health services,31/03/2020,MH02,16
Total number of people in contact with adult mental health services,30/04/2020,MH02,15
Total number of people in contact with adult mental health services,31/05/2020,MH02,14
Total number of people in contact with adult mental health services,30/06/2020,MH02,14
Total number of people in contact with adult mental health services,31/07/2020,MH02,12
Total number of people in contact with adult mental health services,31/08/2020,MH02,12
Total number of people in contact with adult mental health services,30/09/2020,MH02,13
Total number of people in contact with adult mental health services,31/10/2020,MH02,14
Total number of people in contact with adult mental health services,30/11/2020,MH02,14
Total number of people in contact with adult mental health services,31/12/2020,MH02,15
Total number of people in contact with adult mental health services,31/01/2021,MH02,14
Total number of people in contact with adult mental health services,31/01/2018,MH03,38
Total number of people in contact with adult mental health services,28/02/2018,MH03,39
Total number of people in contact with adult mental health services,31/03/2018,MH03,39
Total number of people in contact with adult mental health services,31/05/2018,MH03,42
Total number of people in contact with adult mental health services,31/07/2018,MH03,38
Total number of people in contact with adult mental health services,31/08/2018,MH03,38
Total number of people in contact with adult mental health services,30/09/2018,MH03,35
Total number of people in contact with adult mental health services,31/10/2018,MH03,33
Total number of people in contact with adult mental health services,30/11/2018,MH03,31
Total number of people in contact with adult mental health services,31/12/2018,MH03,28
Total number of people in contact with adult mental health services,31/01/2019,MH03,28
Total number of people in contact with adult mental health services,28/02/2019,MH03,25
Total number of people in contact with adult mental health services,31/03/2019,MH03,25
Total number of people in contact with adult mental health services,30/04/2019,MH03,26
Total number of people in contact with adult mental health services,31/05/2019,MH03,25
Total number of people in contact with adult mental health services,30/06/2019,MH03,26
Total number of people in contact with adult mental health services,31/07/2019,MH03,38
Total number of people in contact with adult mental health services,31/08/2019,MH03,39
Total number of people in contact with adult mental health services,30/09/2019,MH03,38
Total number of people in contact with adult mental health services,31/10/2019,MH03,43
Total number of people in contact with adult mental health services,30/11/2019,MH03,42
Total number of people in contact with adult mental health services,31/12/2019,MH03,42
Total number of people in contact with adult mental health services,31/01/2020,MH03,43
Total number of people in contact with adult mental health services,29/02/2020,MH03,42
Total number of people in contact with adult mental health services,31/03/2020,MH03,43
Total number of people in contact with adult mental health services,30/04/2020,MH03,41
Total number of people in contact with adult mental health services,31/05/2020,MH03,40
Total number of people in contact with adult mental health services,30/06/2020,MH03,40
Total number of people in contact with adult mental health services,31/07/2020,MH03,38
Total number of people in contact with adult mental health services,31/08/2020,MH03,39
Total number of people in contact with adult mental health services,30/09/2020,MH03,36
Total number of people in contact with adult mental health services,31/10/2020,MH03,35
Total number of people in contact with adult mental health services,30/11/2020,MH03,39
Total number of people in contact with adult mental health services,31/12/2020,MH03,38
Total number of people in contact with adult mental health services,31/01/2021,MH03,40
Total number of people in contact with adult mental health services,31/01/2018,MH04,367
Total number of people in contact with adult mental health services,28/02/2018,MH04,363
Total number of people in contact with adult mental health services,31/03/2018,MH04,365
Total number of people in contact with adult mental health services,31/05/2018,MH04,371
Total number of people in contact with adult mental health services,31/07/2018,MH04,362
Total number of people in contact with adult mental health services,31/08/2018,MH04,364
Total number of people in contact with adult mental health services,30/09/2018,MH04,354
Total number of people in contact with adult mental health services,31/10/2018,MH04,354
Total number of people in contact with adult mental health services,30/11/2018,MH04,348
Total number of people in contact with adult mental health services,31/12/2018,MH04,351
Total number of people in contact with adult mental health services,31/01/2019,MH04,350
Total number of people in contact with adult mental health services,28/02/2019,MH04,343
Total number of people in contact with adult mental health services,31/03/2019,MH04,360
Total number of people in contact with adult mental health services,30/04/2019,MH04,364
Total number of people in contact with adult mental health services,31/05/2019,MH04,355
Total number of people in contact with adult mental health services,30/06/2019,MH04,361
Total number of people in contact with adult mental health services,31/07/2019,MH04,395
Total number of people in contact with adult mental health services,31/08/2019,MH04,381
Total number of people in contact with adult mental health services,30/09/2019,MH04,385
Total number of people in contact with adult mental health services,31/10/2019,MH04,396
Total number of people in contact with adult mental health services,30/11/2019,MH04,397
Total number of people in contact with adult mental health services,31/12/2019,MH04,390
Total number of people in contact with adult mental health services,31/01/2020,MH04,397
Total number of people in contact with adult mental health services,29/02/2020,MH04,397
Total number of people in contact with adult mental health services,31/03/2020,MH04,391
Total number of people in contact with adult mental health services,30/04/2020,MH04,369
Total number of people in contact with adult mental health services,31/05/2020,MH04,354
Total number of people in contact with adult mental health services,30/06/2020,MH04,351
Total number of people in contact with adult mental health services,31/07/2020,MH04,361
Total number of people in contact with adult mental health services,31/08/2020,MH04,359
Total number of people in contact with adult mental health services,30/09/2020,MH04,365
Total number of people in contact with adult mental health services,31/10/2020,MH04,371
Total number of people in contact with adult mental health services,30/11/2020,MH04,361
Total number of people in contact with adult mental health services,31/12/2020,MH04,344
Total number of people in contact with adult mental health services,31/01/2021,MH04,347
Total number of people in contact with adult mental health services,31/01/2018,MH09,48
Total number of people in contact with adult mental health services,28/02/2018,MH09,48
Total number of people in contact with adult mental health services,31/03/2018,MH09,49
Total number of people in contact with adult mental health services,31/05/2018,MH09,49
Total number of people in contact with adult mental health services,31/07/2018,MH09,46
Total number of people in contact with adult mental health services,31/08/2018,MH09,43
Total number of people in contact with adult mental health services,30/09/2018,MH09,41
Total number of people in contact with adult mental health services,31/10/2018,MH09,41
Total number of people in contact with adult mental health services,30/11/2018,MH09,42
Total number of people in contact with adult mental health services,31/12/2018,MH09,42
Total number of people in contact with adult mental health services,31/01/2019,MH09,42
Total number of people in contact with adult mental health services,28/02/2019,MH09,45
Total number of people in contact with adult mental health services,31/03/2019,MH09,44
Total number of people in contact with adult mental health services,30/04/2019,MH09,43
Total number of people in contact with adult mental health services,31/05/2019,MH09,41
Total number of people in contact with adult mental health services,30/06/2019,MH09,42
Total number of people in contact with adult mental health services,31/07/2019,MH09,54
Total number of people in contact with adult mental health services,31/08/2019,MH09,53
Total number of people in contact with adult mental health services,30/09/2019,MH09,50
Total number of people in contact with adult mental health services,31/10/2019,MH09,49
Total number of people in contact with adult mental health services,30/11/2019,MH09,50
Total number of people in contact with adult mental health services,31/12/2019,MH09,50
Total number of people in contact with adult mental health services,31/01/2020,MH09,50
Total number of people in contact with adult mental health services,29/02/2020,MH09,52
Total number of people in contact with adult mental health services,31/03/2020,MH09,51
Total number of people in contact with adult mental health services,30/04/2020,MH09,53
Total number of people in contact with adult mental health services,31/05/2020,MH09,55
Total number of people in contact with adult mental health services,30/06/2020,MH09,52
Total number of people in contact with adult mental health services,31/07/2020,MH09,52
Total number of people in contact with adult mental health services,31/08/2020,MH09,52
Total number of people in contact with adult mental health services,30/09/2020,MH09,51
Total number of people in contact with adult mental health services,31/10/2020,MH09,48
Total number of people in contact with adult mental health services,30/11/2020,MH09,47
Total number of people in contact with adult mental health services,31/12/2020,MH09,49
Total number of people in contact with adult mental health services,31/01/2021,MH09,45
Total number of people in contact with adult mental health services,31/01/2018,ML00,3
Total number of people in contact with adult mental health services,28/02/2018,ML00,3
Total number of people in contact with adult mental health services,31/03/2018,ML00,3
Total number of people in contact with adult mental health services,31/05/2018,ML00,5
Total number of people in contact with adult mental health services,31/07/2018,ML00,4
Total number of people in contact with adult mental health services,31/08/2018,ML00,2
Total number of people in contact with adult mental health services,30/09/2018,ML00,2
Total number of people in contact with adult mental health services,31/10/2018,ML00,2
Total number of people in contact with adult mental health services,30/11/2018,ML00,2
Total number of people in contact with adult mental health services,31/12/2018,ML00,2
Total number of people in contact with adult mental health services,31/01/2019,ML00,1
Total number of people in contact with adult mental health services,28/02/2019,ML00,1
Total number of people in contact with adult mental health services,31/03/2019,ML00,1
Total number of people in contact with adult mental health services,30/04/2019,ML00,2
Total number of people in contact with adult mental health services,31/05/2019,ML00,3
Total number of people in contact with adult mental health services,30/06/2019,ML00,3
Total number of people in contact with adult mental health services,31/07/2019,ML00,4
Total number of people in contact with adult mental health services,31/08/2019,ML00,3
Total number of people in contact with adult mental health services,30/09/2019,ML00,2
Total number of people in contact with adult mental health services,31/10/2019,ML00,3
Total number of people in contact with adult mental health services,30/11/2019,ML00,3
Total number of people in contact with adult mental health services,31/12/2019,ML00,3
Total number of people in contact with adult mental health services,31/01/2020,ML00,3
Total number of people in contact with adult mental health services,29/02/2020,ML00,4
Total number of people in contact with adult mental health services,31/03/2020,ML00,4
Total number of people in contact with adult mental health services,30/04/2020,ML00,4
Total number of people in contact with adult mental health services,31/05/2020,ML00,5
Total number of people in contact with adult mental health services,30/06/2020,ML00,5
Total number of people in contact with adult mental health services,31/07/2020,ML00,6
Total number of people in contact with adult mental health services,31/08/2020,ML00,5
Total number of people in contact with adult mental health services,30/09/2020,ML00,5
Total number of people in contact with adult mental health services,31/10/2020,ML00,4
Total number of people in contact with adult mental health services,30/11/2020,ML00,4
Total number of people in contact with adult mental health services,31/12/2020,ML00,5
Total number of people in contact with adult mental health services,31/01/2021,ML00,5
Total number of people in contact with adult mental health services,31/01/2018,OC96,28
Total number of people in contact with adult mental health services,28/02/2018,OC96,30
Total number of people in contact with adult mental health services,31/03/2018,OC96,26
Total number of people in contact with adult mental health services,31/05/2018,OC96,24
Total number of people in contact with adult mental health services,31/07/2018,OC96,25
Total number of people in contact with adult mental health services,31/08/2018,OC96,28
Total number of people in contact with adult mental health services,30/09/2018,OC96,28
Total number of people in contact with adult mental health services,31/10/2018,OC96,24
Total number of people in contact with adult mental health services,30/11/2018,OC96,24
Total number of people in contact with adult mental health services,31/12/2018,OC96,28
Total number of people in contact with adult mental health services,31/01/2019,OC96,25
Total number of people in contact with adult mental health services,28/02/2019,OC96,22
Total number of people in contact with adult mental health services,31/03/2019,OC96,22
Total number of people in contact with adult mental health services,30/04/2019,OC96,20
Total number of people in contact with adult mental health services,31/05/2019,OC96,19
Total number of people in contact with adult mental health services,30/06/2019,OC96,17
Total number of people in contact with adult mental health services,31/07/2019,OC96,21
Total number of people in contact with adult mental health services,31/08/2019,OC96,22
Total number of people in contact with adult mental health services,30/09/2019,OC96,20
Total number of people in contact with adult mental health services,31/10/2019,OC96,18
Total number of people in contact with adult mental health services,30/11/2019,OC96,19
Total number of people in contact with adult mental health services,31/12/2019,OC96,18
Total number of people in contact with adult mental health services,31/01/2020,OC96,22
Total number of people in contact with adult mental health services,29/02/2020,OC96,20
Total number of people in contact with adult mental health services,31/03/2020,OC96,21
Total number of people in contact with adult mental health services,30/04/2020,OC96,22
Total number of people in contact with adult mental health services,31/05/2020,OC96,23
Total number of people in contact with adult mental health services,30/06/2020,OC96,22
Total number of people in contact with adult mental health services,31/07/2020,OC96,25
Total number of people in contact with adult mental health services,31/08/2020,OC96,24
Total number of people in contact with adult mental health services,30/09/2020,OC96,25
Total number of people in contact with adult mental health services,31/10/2020,OC96,24
Total number of people in contact with adult mental health services,30/11/2020,OC96,26
Total number of people in contact with adult mental health services,31/12/2020,OC96,23
Total number of people in contact with adult mental health services,31/01/2021,OC96,23
Total number of people in contact with adult mental health services,31/01/2018,OC97,67
Total number of people in contact with adult mental health services,28/02/2018,OC97,62
Total number of people in contact with adult mental health services,31/03/2018,OC97,60
Total number of people in contact with adult mental health services,31/05/2018,OC97,54
Total number of people in contact with adult mental health services,31/07/2018,OC97,48
Total number of people in contact with adult mental health services,31/08/2018,OC97,60
Total number of people in contact with adult mental health services,30/09/2018,OC97,64
Total number of people in contact with adult mental health services,31/10/2018,OC97,47
Total number of people in contact with adult mental health services,30/11/2018,OC97,48
Total number of people in contact with adult mental health services,31/12/2018,OC97,46
Total number of people in contact with adult mental health services,31/01/2019,OC97,46
Total number of people in contact with adult mental health services,28/02/2019,OC97,53
Total number of people in contact with adult mental health services,31/03/2019,OC97,59
Total number of people in contact with adult mental health services,30/04/2019,OC97,60
Total number of people in contact with adult mental health services,31/05/2019,OC97,55
Total number of people in contact with adult mental health services,30/06/2019,OC97,58
Total number of people in contact with adult mental health services,31/07/2019,OC97,79
Total number of people in contact with adult mental health services,31/08/2019,OC97,83
Total number of people in contact with adult mental health services,30/09/2019,OC97,67
Total number of people in contact with adult mental health services,31/10/2019,OC97,87
Total number of people in contact with adult mental health services,30/11/2019,OC97,84
Total number of people in contact with adult mental health services,31/12/2019,OC97,79
Total number of people in contact with adult mental health services,31/01/2020,OC97,81
Total number of people in contact with adult mental health services,29/02/2020,OC97,91
Total number of people in contact with adult mental health services,31/03/2020,OC97,91
Total number of people in contact with adult mental health services,30/04/2020,OC97,92
Total number of people in contact with adult mental health services,31/05/2020,OC97,92
Total number of people in contact with adult mental health services,30/06/2020,OC97,91
Total number of people in contact with adult mental health services,31/07/2020,OC97,88
Total number of people in contact with adult mental health services,31/08/2020,OC97,89
Total number of people in contact with adult mental health services,30/09/2020,OC97,85
Total number of people in contact with adult mental health services,31/10/2020,OC97,86
Total number of people in contact with adult mental health services,30/11/2020,OC97,89
Total number of people in contact with adult mental health services,31/12/2020,OC97,91
Total number of people in contact with adult mental health services,31/01/2021,OC97,85
Total number of people in contact with adult mental health services,31/01/2018,OC98,17
Total number of people in contact with adult mental health services,28/02/2018,OC98,17
Total number of people in contact with adult mental health services,31/03/2018,OC98,16
Total number of people in contact with adult mental health services,31/05/2018,OC98,15
Total number of people in contact with adult mental health services,31/07/2018,OC98,14
Total number of people in contact with adult mental health services,31/08/2018,OC98,15
Total number of people in contact with adult mental health services,30/09/2018,OC98,17
Total number of people in contact with adult mental health services,31/10/2018,OC98,16
Total number of people in contact with adult mental health services,30/11/2018,OC98,18
Total number of people in contact with adult mental health services,31/12/2018,OC98,18
Total number of people in contact with adult mental health services,31/01/2019,OC98,16
Total number of people in contact with adult mental health services,28/02/2019,OC98,18
Total number of people in contact with adult mental health services,31/03/2019,OC98,18
Total number of people in contact with adult mental health services,30/04/2019,OC98,23
Total number of people in contact with adult mental health services,31/05/2019,OC98,20
Total number of people in contact with adult mental health services,30/06/2019,OC98,20
Total number of people in contact with adult mental health services,31/07/2019,OC98,22
Total number of people in contact with adult mental health services,31/08/2019,OC98,24
Total number of people in contact with adult mental health services,30/09/2019,OC98,19
Total number of people in contact with adult mental health services,31/10/2019,OC98,20
Total number of people in contact with adult mental health services,30/11/2019,OC98,23
Total number of people in contact with adult mental health services,31/12/2019,OC98,23
Total number of people in contact with adult mental health services,31/01/2020,OC98,27
Total number of people in contact with adult mental health services,29/02/2020,OC98,24
Total number of people in contact with adult mental health services,31/03/2020,OC98,24
Total number of people in contact with adult mental health services,30/04/2020,OC98,25
Total number of people in contact with adult mental health services,31/05/2020,OC98,25
Total number of people in contact with adult mental health services,30/06/2020,OC98,27
Total number of people in contact with adult mental health services,31/07/2020,OC98,27
Total number of people in contact with adult mental health services,31/08/2020,OC98,28
Total number of people in contact with adult mental health services,30/09/2020,OC98,30
Total number of people in contact with adult mental health services,31/10/2020,OC98,27
Total number of people in contact with adult mental health services,30/11/2020,OC98,23
Total number of people in contact with adult mental health services,31/12/2020,OC98,22
Total number of people in contact with adult mental health services,31/01/2021,OC98,24
Total number of people in contact with adult mental health services,31/01/2018,OC99,60
Total number of people in contact with adult mental health services,28/02/2018,OC99,61
Total number of people in contact with adult mental health services,31/03/2018,OC99,68
Total number of people in contact with adult mental health services,31/05/2018,OC99,53
Total number of people in contact with adult mental health services,31/07/2018,OC99,66
Total number of people in contact with adult mental health services,31/08/2018,OC99,64
Total number of people in contact with adult mental health services,30/09/2018,OC99,64
Total number of people in contact with adult mental health services,31/10/2018,OC99,62
Total number of people in contact with adult mental health services,30/11/2018,OC99,57
Total number of people in contact with adult mental health services,31/12/2018,OC99,55
Total number of people in contact with adult mental health services,31/01/2019,OC99,50
Total number of people in contact with adult mental health services,28/02/2019,OC99,53
Total number of people in contact with adult mental health services,31/03/2019,OC99,52
Total number of people in contact with adult mental health services,30/04/2019,OC99,55
Total number of people in contact with adult mental health services,31/05/2019,OC99,57
Total number of people in contact with adult mental health services,30/06/2019,OC99,53
Total number of people in contact with adult mental health services,31/07/2019,OC99,78
Total number of people in contact with adult mental health services,31/08/2019,OC99,74
Total number of people in contact with adult mental health services,30/09/2019,OC99,68
Total number of people in contact with adult mental health services,31/10/2019,OC99,72
Total number of people in contact with adult mental health services,30/11/2019,OC99,74
Total number of people in contact with adult mental health services,31/12/2019,OC99,69
Total number of people in contact with adult mental health services,31/01/2020,OC99,66
Total number of people in contact with adult mental health services,29/02/2020,OC99,66
Total number of people in contact with adult mental health services,31/03/2020,OC99,67
Total number of people in contact with adult mental health services,30/04/2020,OC99,70
Total number of people in contact with adult mental health services,31/05/2020,OC99,71
Total number of people in contact with adult mental health services,30/06/2020,OC99,71
Total number of people in contact with adult mental health services,31/07/2020,OC99,67
Total number of people in contact with adult mental health services,31/08/2020,OC99,71
Total number of people in contact with adult mental health services,30/09/2020,OC99,72
Total number of people in contact with adult mental health services,31/10/2020,OC99,74
Total number of people in contact with adult mental health services,30/11/2020,OC99,69
Total number of people in contact with adult mental health services,31/12/2020,OC99,68
Total number of people in contact with adult mental health services,31/01/2021,OC99,66
Total number of people in contact with adult mental health services,31/01/2018,SH00,52
Total number of people in contact with adult mental health services,28/02/2018,SH00,53
Total number of people in contact with adult mental health services,31/03/2018,SH00,50
Total number of people in contact with adult mental health services,31/05/2018,SH00,52
Total number of people in contact with adult mental health services,31/07/2018,SH00,50
Total number of people in contact with adult mental health services,31/08/2018,SH00,55
Total number of people in contact with adult mental health services,30/09/2018,SH00,55
Total number of people in contact with adult mental health services,31/10/2018,SH00,55
Total number of people in contact with adult mental health services,30/11/2018,SH00,60
Total number of people in contact with adult mental health services,31/12/2018,SH00,64
Total number of people in contact with adult mental health services,31/01/2019,SH00,64
Total number of people in contact with adult mental health services,28/02/2019,SH00,68
Total number of people in contact with adult mental health services,31/03/2019,SH00,69
Total number of people in contact with adult mental health services,30/04/2019,SH00,67
Total number of people in contact with adult mental health services,31/05/2019,SH00,64
Total number of people in contact with adult mental health services,30/06/2019,SH00,67
Total number of people in contact with adult mental health services,31/07/2019,SH00,88
Total number of people in contact with adult mental health services,31/08/2019,SH00,88
Total number of people in contact with adult mental health services,30/09/2019,SH00,89
Total number of people in contact with adult mental health services,31/10/2019,SH00,89
Total number of people in contact with adult mental health services,30/11/2019,SH00,88
Total number of people in contact with adult mental health services,31/12/2019,SH00,86
Total number of people in contact with adult mental health services,31/01/2020,SH00,85
Total number of people in contact with adult mental health services,29/02/2020,SH00,87
Total number of people in contact with adult mental health services,31/03/2020,SH00,83
Total number of people in contact with adult mental health services,30/04/2020,SH00,81
Total number of people in contact with adult mental health services,31/05/2020,SH00,76
Total number of people in contact with adult mental health services,30/06/2020,SH00,77
Total number of people in contact with adult mental health services,31/07/2020,SH00,74
Total number of people in contact with adult mental health services,31/08/2020,SH00,75
Total number of people in contact with adult mental health services,30/09/2020,SH00,71
Total number of people in contact with adult mental health services,31/10/2020,SH00,74
Total number of people in contact with adult mental health services,30/11/2020,SH00,73
Total number of people in contact with adult mental health services,31/12/2020,SH00,68
Total number of people in contact with adult mental health services,31/01/2021,SH00,71
Total number of people in contact with adult mental health services,31/01/2018,SH01,99
Total number of people in contact with adult mental health services,28/02/2018,SH01,99
Total number of people in contact with adult mental health services,31/03/2018,SH01,100
Total number of people in contact with adult mental health services,31/05/2018,SH01,103
Total number of people in contact with adult mental health services,31/07/2018,SH01,103
Total number of people in contact with adult mental health services,31/08/2018,SH01,102
Total number of people in contact with adult mental health services,30/09/2018,SH01,101
Total number of people in contact with adult mental health services,31/10/2018,SH01,105
Total number of people in contact with adult mental health services,30/11/2018,SH01,104
Total number of people in contact with adult mental health services,31/12/2018,SH01,95
Total number of people in contact with adult mental health services,31/01/2019,SH01,92
Total number of people in contact with adult mental health services,28/02/2019,SH01,90
Total number of people in contact with adult mental health services,31/03/2019,SH01,95
Total number of people in contact with adult mental health services,30/04/2019,SH01,96
Total number of people in contact with adult mental health services,31/05/2019,SH01,93
Total number of people in contact with adult mental health services,30/06/2019,SH01,95
Total number of people in contact with adult mental health services,31/07/2019,SH01,130
Total number of people in contact with adult mental health services,31/08/2019,SH01,131
Total number of people in contact with adult mental health services,30/09/2019,SH01,128
Total number of people in contact with adult mental health services,31/10/2019,SH01,122
Total number of people in contact with adult mental health services,30/11/2019,SH01,115
Total number of people in contact with adult mental health services,31/12/2019,SH01,110
Total number of people in contact with adult mental health services,31/01/2020,SH01,112
Total number of people in contact with adult mental health services,29/02/2020,SH01,111
Total number of people in contact with adult mental health services,31/03/2020,SH01,108
Total number of people in contact with adult mental health services,30/04/2020,SH01,106
Total number of people in contact with adult mental health services,31/05/2020,SH01,102
Total number of people in contact with adult mental health services,30/06/2020,SH01,103
Total number of people in contact with adult mental health services,31/07/2020,SH01,110
Total number of people in contact with adult mental health services,31/08/2020,SH01,115
Total number of people in contact with adult mental health services,30/09/2020,SH01,112
Total number of people in contact with adult mental health services,31/10/2020,SH01,112
Total number of people in contact with adult mental health services,30/11/2020,SH01,107
Total number of people in contact with adult mental health services,31/12/2020,SH01,102
Total number of people in contact with adult mental health services,31/01/2021,SH01,104
Total number of people in contact with adult mental health services,31/01/2018,SH02,57
Total number of people in contact with adult mental health services,28/02/2018,SH02,53
Total number of people in contact with adult mental health services,31/03/2018,SH02,51
Total number of people in contact with adult mental health services,31/05/2018,SH02,49
Total number of people in contact with adult mental health services,31/07/2018,SH02,47
Total number of people in contact with adult mental health services,31/08/2018,SH02,47
Total number of people in contact with adult mental health services,30/09/2018,SH02,48
Total number of people in contact with adult mental health services,31/10/2018,SH02,51
Total number of people in contact with adult mental health services,30/11/2018,SH02,51
Total number of people in contact with adult mental health services,31/12/2018,SH02,52
Total number of people in contact with adult mental health services,31/01/2019,SH02,51
Total number of people in contact with adult mental health services,28/02/2019,SH02,46
Total number of people in contact with adult mental health services,31/03/2019,SH02,49
Total number of people in contact with adult mental health services,30/04/2019,SH02,51
Total number of people in contact with adult mental health services,31/05/2019,SH02,50
Total number of people in contact with adult mental health services,30/06/2019,SH02,46
Total number of people in contact with adult mental health services,31/07/2019,SH02,53
Total number of people in contact with adult mental health services,31/08/2019,SH02,50
Total number of people in contact with adult mental health services,30/09/2019,SH02,51
